2025-06-17 11:21:08.977 +07:00 [WRN] Failed to determine the https port for redirect.
2025-06-17 11:21:11.385 +07:00 [INF] Cố gắng đăng nhập cho người dùng: admin
2025-06-17 11:21:14.652 +07:00 [INF] Người dùng'admin'  đã đăng  nhập thành công.
2025-06-17 11:21:14.692 +07:00 [INF] HTTP POST /api/Auth/Login responded 200 in 5725.5815 ms
2025-06-17 11:23:55.185 +07:00 [INF] HTTP GET /api/Users/me responded 200 in 118.1879 ms
2025-06-17 11:24:27.610 +07:00 [INF] HTTP DELETE /api/Users/logout responded 405 in 6.1397 ms
2025-06-17 11:26:04.673 +07:00 [INF] HTTP DELETE /api/logout responded 404 in 0.8626 ms
2025-06-17 11:26:10.578 +07:00 [INF] HTTP DELETE /logout responded 404 in 0.6822 ms
2025-06-17 11:26:53.855 +07:00 [INF] HTTP DELETE /logout responded 404 in 0.7200 ms
2025-06-17 11:26:54.949 +07:00 [INF] HTTP DELETE /logout responded 404 in 0.8614 ms
2025-06-17 11:27:07.627 +07:00 [INF] HTTP POST /logout responded 404 in 0.5047 ms
2025-06-17 11:27:26.980 +07:00 [INF] HTTP POST /api/logout responded 404 in 0.3921 ms
2025-06-17 11:27:32.845 +07:00 [INF] HTTP POST /api/Users/logout responded 405 in 0.7938 ms
2025-06-17 11:27:33.772 +07:00 [INF] HTTP POST /api/Users/logout responded 405 in 0.7315 ms
2025-06-17 11:27:37.543 +07:00 [INF] HTTP POST /api/Users/logout responded 405 in 1.1596 ms
2025-06-17 11:27:59.674 +07:00 [INF] HTTP POST /api/Users/me/logout responded 404 in 3.4200 ms
2025-06-17 11:28:00.630 +07:00 [INF] HTTP POST /api/Users/me/logout responded 404 in 56.9312 ms
